Timestamp,Latitude,Longitude,Location,Accuracy,Source,Activity
2025-09-15 08:00:00,12.9716,77.5946,Koramangala Bangalore,15,GPS,Stationary
2025-09-15 14:23:00,12.9716,77.5946,Koramangala Bangalore,10,GPS,On Phone
2025-09-15 18:45:00,12.9352,77.6245,Whitefield Bangalore,20,Cell Tower,Moving
2025-09-15 21:00:00,12.9716,77.5946,Koramangala Bangalore,12,WiFi,Stationary
2025-09-16 07:30:00,12.9716,77.5946,Koramangala Bangalore,18,GPS,Stationary
2025-09-16 10:15:00,12.9716,77.5946,Koramangala Bangalore,8,GPS,On Phone
2025-09-16 15:30:00,13.0358,77.5970,MG Road Bangalore,25,Cell Tower,Moving
2025-09-16 18:00:00,12.9352,77.6245,Whitefield Bangalore,15,GPS,Stationary
2025-09-16 22:30:00,12.9716,77.5946,Koramangala Bangalore,10,WiFi,Stationary
2025-09-17 06:45:00,12.9716,77.5946,Koramangala Bangalore,20,GPS,Stationary
2025-09-17 09:00:00,12.9716,77.5946,Koramangala Bangalore,12,GPS,On Phone
2025-09-17 14:20:00,12.9141,77.6411,HSR Layout Bangalore,18,Cell Tower,Moving
2025-09-17 20:45:00,17.4239,78.4738,Banjara Hills Hyderabad,30,Cell Tower,Moving
2025-09-17 21:00:00,17.4239,78.4738,Banjara Hills Hyderabad,10,GPS,Stationary
2025-09-17 23:30:00,17.4239,78.4738,Banjara Hills Hyderabad,15,WiFi,Stationary
2025-09-18 02:15:00,17.4239,78.4738,Banjara Hills Hyderabad,25,Cell Tower,Moving
2025-09-18 06:30:00,12.9716,77.5946,Koramangala Bangalore,12,GPS,Stationary
2025-09-18 10:45:00,12.9716,77.5946,Koramangala Bangalore,8,GPS,On Phone
2025-09-18 14:15:00,12.9716,77.5946,Koramangala Bangalore,15,WiFi,Stationary
2025-09-18 18:00:00,12.9141,77.6411,HSR Layout Bangalore,20,Cell Tower,Moving
